user_id,household_size,number_of_kids,income_type,class,gross_monthly_income,net_monthly_income,assets_total,investments_total,savings_total,debts_total,rent_mortgage,utilities,insurance,transportation,groceries,clothes,phone,subscriptions,miscellaneous,fixed_costs_total,emergency_fund,house_rent_savings,guilt_free_spending,total_net_worth,financial_stress,owns_home,user_goals
1,6,1,dual_income,middle,65197,54539,3817793,107452,61486,214859,9779,4172,2870,2279,19156,5977,2392,4481,10481,80355,26153,0,42236,3771872,no,yes,Upgrade to a bigger house
2,4,1,dual_income,rich,331004,262940,29267488,8843308,5673395,7697,49650,2479,5948,6218,17615,8842,1464,4314,16347,125332,39782,17997,130165,43776494,no,no,Upgrade to a bigger house
3,6,0,single_income,middle,78748,62820,3265197,335295,45256,993070,11812,5866,2371,8998,8615,8911,2414,4638,9273,71093,5864,6268,48377,2652678,no,no,Plan a family vacation
4,3,2,dual_income,upper_middle,189590,157922,8535647,828615,405442,556324,28438,3534,5480,9774,11861,3985,2464,3278,11902,91251,20960,19166,78328,9213380,no,no,Travel abroad next year
5,5,2,dual_income,middle,109052,86790,4455257,168111,70733,357753,16357,3872,2705,5996,17043,9493,507,3494,10166,77940,8744,0,38988,4336348,no,yes,Plan a family vacation
6,3,2,dual_income,lower_middle,43990,37078,1792035,147698,7954,155573,6598,2652,3932,8331,11512,7205,1999,4425,8996,68972,15450,0,12130,1792114,no,yes,Repay credit card dues
7,6,1,dual_income,lower_middle,55625,47158,1462454,56396,923,168920,8343,4799,3574,8578,12875,7326,2986,3353,9831,75372,24041,0,18331,1350853,no,yes,Build emergency fund
8,4,1,dual_income,lower_middle,35696,30203,1954407,1466,18350,115911,5354,5388,5395,3944,15833,3893,2401,2152,9793,75085,26924,5599,5262,1858312,no,no,Open a PPF account
9,3,0,single_income,rich,367477,300643,23860792,9317619,6538602,431583,55121,4570,5419,7557,15382,4476,1290,1246,16100,123437,36086,29888,129878,39285430,no,no,Start an education fund
10,3,1,single_income,middle,80827,72029,4916624,160354,98543,742445,12124,2684,4126,6717,8946,8501,1006,1005,9189,70452,16350,29041,47157,4433076,no,no,Retirement savings
11,4,0,single_income,lower_middle,59001,51934,1631960,390,12668,61569,8850,2672,4560,7867,9211,2929,2039,1001,8022,61508,13921,0,18029,1583449,no,yes,Buy a new car
12,3,2,dual_income,lower_middle,34386,28576,1646375,93948,17303,193314,5157,3658,3834,7402,13663,3869,876,1936,7076,54253,32151,0,7339,1564312,no,yes,Increase term insurance
13,5,2,dual_income,poor,23840,18597,193846,4399,4057,24495,3576,3301,5274,7185,10155,8411,2769,1978,8532,65415,44164,0,3715,177807,no,yes,Pay medical bills
14,4,1,single_income,poor,22177,19794,86382,7933,2080,6089,3326,2154,5494,2904,9269,2404,1343,2225,6036,46277,49148,0,1547,90306,no,yes,Pay off debt
15,6,2,dual_income,upper_middle,138690,113224,5255658,1990641,257419,203844,20803,5678,4425,9690,12675,2890,1221,1973,10980,84186,24627,24480,55785,7299874,no,no,Open a PPF account
16,5,1,dual_income,lower_middle,54795,42615,1233362,173686,12720,107608,8219,4463,5524,4774,13673,5124,979,4378,9150,70151,45902,23554,14145,1312160,no,no,Increase term insurance
17,5,2,dual_income,lower_middle,45310,39987,1947307,117358,3365,147628,6796,4567,4169,2339,12270,8019,2214,3587,8844,67808,43220,0,16410,1920402,no,yes,Down payment for a house
18,6,1,single_income,rich,468614,414917,28286606,4007878,5212037,315617,70292,4160,4020,3451,10313,3514,1731,3940,16687,127938,41824,0,69880,37190904,no,yes,Upgrade to a bigger house
19,3,0,dual_income,lower_middle,33917,28919,1539272,199544,3862,64506,5087,3450,5096,7649,11261,3164,2369,4015,8371,64178,43328,20451,17421,1678172,no,no,Start an education fund
20,6,2,single_income,rich,280863,212392,45992019,8417115,6087757,62712,42129,4969,2903,3541,13911,5503,2976,4743,13933,106824,6141,24281,71473,60434179,no,no,Pay off debt
21,4,2,dual_income,poor,20046,16011,80219,16878,3182,69322,3006,4585,4797,7133,17643,3751,2780,3434,8980,68849,11869,0,4130,30957,yes,yes,Start an education fund
22,4,2,single_income,rich,344923,294497,41312762,8730419,7105949,201904,51738,3633,2126,7602,9191,4639,793,4579,14381,110259,25923,0,106356,56947226,no,yes,Invest in stock market
23,6,2,dual_income,middle,62841,49985,4650196,433720,30304,754629,9426,5414,4986,7014,9375,3181,2112,4034,7614,58375,24680,0,19758,4359591,no,yes,Retirement savings
24,5,2,dual_income,upper_middle,123159,106782,5360306,1774535,202834,510281,18473,4387,4394,4693,17562,6744,744,3080,10679,81878,45025,21172,51638,6827394,no,no,Pay medical bills
25,3,2,dual_income,lower_middle,31627,25691,1265328,154536,18369,111497,4744,5402,4296,9164,10597,2901,2464,1878,7050,54054,22632,0,14713,1326736,no,yes,Fund children's marriage
26,6,0,dual_income,upper_middle,170210,130764,5387773,522499,202552,544844,25531,5553,2344,8031,17953,2220,2438,3388,12070,92538,47624,0,34603,5567980,no,yes,Build wealth for kids
27,5,0,dual_income,upper_middle,167975,140838,8278262,1630017,452600,337612,25196,5141,3887,9016,14191,3514,2834,2540,10402,79755,28283,29849,70581,10023267,no,no,Repay credit card dues
28,3,0,single_income,rich,428872,357512,17648392,4431129,2100720,73870,64330,3092,4294,5332,8787,8222,2181,4176,15881,121758,40340,11915,74162,24106371,no,no,Build wealth for kids
29,3,1,single_income,upper_middle,120066,106316,6687023,1031821,301224,477972,18009,5369,5980,3187,12471,6748,1048,572,11150,85488,37966,0,68498,7542096,no,yes,Retirement savings
30,6,2,single_income,middle,104237,93276,4752690,348004,37118,222616,15635,4795,5254,6304,12588,9297,2157,3946,9425,72261,6605,0,15798,4915196,no,yes,Plan a family vacation
31,4,2,dual_income,lower_middle,54900,48763,1750258,112341,7099,181965,8235,2383,4263,5432,10371,5086,716,3417,7311,56055,36186,29686,6390,1687733,no,no,Start a small business
32,5,1,dual_income,upper_middle,148350,114526,6820844,1787116,328506,110785,22252,5991,2913,8358,10181,8428,2444,2878,12010,92077,49414,0,36691,8825681,no,yes,Pay off debt
33,6,2,dual_income,middle,66221,57730,2416690,215375,41045,316582,9933,3811,5183,9903,11797,7178,1850,690,8704,66733,22719,0,19922,2356528,no,yes,Buy a new car
34,5,2,dual_income,lower_middle,30615,23854,1808166,50906,463,124694,4592,3146,2842,7417,14004,2689,2007,882,7036,53947,33386,0,9267,1734841,no,yes,Renovate home
35,6,2,dual_income,upper_middle,193843,149510,5171277,991966,396303,111516,29076,4939,3047,5699,13969,3073,1217,3650,11203,85896,31181,0,59086,6448030,no,yes,Increase term insurance
36,4,2,single_income,middle,107662,80919,2873420,334856,95452,603359,16149,2752,4828,3024,16737,7565,578,3049,10836,83080,39758,21374,40855,2700369,no,no,Build emergency fund
37,4,2,dual_income,rich,459021,372544,16942263,5288157,5152124,364883,68853,3045,4338,5556,15951,8449,1438,941,19521,149667,41993,0,101796,27017661,no,yes,Retirement savings
38,4,1,single_income,lower_middle,46344,38725,1374820,89156,14783,97922,6951,3736,4756,3449,13953,2264,1962,2874,8054,61748,28488,0,18928,1380837,no,yes,Save for kids' college
39,6,0,single_income,lower_middle,40298,30438,1517375,10400,10345,83896,6044,5653,4365,7583,12897,7718,2405,4011,9827,75341,18329,0,8510,1454224,no,yes,Pay medical bills
40,3,0,single_income,middle,117769,97777,4143184,395830,96981,823090,17665,5779,3858,4118,14391,2145,2141,4077,11508,88231,21576,0,17809,3812905,no,yes,Buy a new car
41,4,0,single_income,middle,112116,88034,4066905,204186,82894,889995,16817,4738,5269,5199,18771,8103,1934,1907,10112,77530,49462,0,22465,3463990,no,yes,Retirement savings
42,5,1,single_income,middle,67995,60229,3729122,253885,98812,940885,10199,5484,3522,8568,10601,4657,2484,2949,8842,67790,46081,0,27746,3140934,no,yes,Build emergency fund
43,4,2,single_income,middle,83991,63881,3836309,259682,54678,486610,12598,5874,5185,3916,14996,5548,2456,1396,8941,68552,47511,5060,29904,3664059,no,no,Start a small business
44,4,0,dual_income,lower_middle,58536,48324,1560538,33302,19846,54011,8780,5233,4861,3004,18691,7325,1539,3206,10029,76889,37769,0,8398,1559675,no,yes,Build wealth for kids
45,4,0,single_income,lower_middle,31861,24460,1408063,43880,15699,189392,4779,5129,3221,8354,16081,2901,2592,4986,9167,70286,41686,22451,5437,1278250,no,no,Save for kids' college
46,5,0,dual_income,rich,310776,256769,22160068,4465596,8218454,210809,46616,2805,5702,5791,9357,5225,2626,3228,14032,107579,28110,0,90544,34633309,no,yes,Plan a family vacation
47,4,2,single_income,middle,109768,93667,3461820,183123,55333,203174,16465,2916,4173,9099,15376,5168,2621,4651,10702,82050,46679,0,19321,3497102,no,yes,Increase term insurance
48,4,2,dual_income,upper_middle,140977,112984,7023553,1766302,450321,697190,21146,5286,4491,9957,18686,7081,1492,3084,12180,93382,25906,24621,56636,8542986,no,no,Down payment for a house
49,3,1,single_income,middle,119620,95866,3250104,381729,37272,502039,17943,3296,2116,8961,10415,3117,667,1864,8117,62235,7708,22308,18720,3167066,no,no,Build wealth for kids
50,3,0,dual_income,upper_middle,164755,142343,7033764,1581900,441073,494768,24713,2734,4179,9505,15162,7523,1058,3776,13575,104075,37922,12950,65853,8561969,no,no,Renovate home
51,5,2,dual_income,middle,73016,59634,2042137,493369,27853,736667,10952,3716,5202,8593,19049,2786,772,4772,11979,91840,32454,28600,30792,1826692,no,no,Plan a family vacation
52,6,0,single_income,poor,28733,23219,180851,1212,1152,15896,4309,5271,5228,6582,19397,8031,647,1857,8883,68103,45096,26017,2511,167319,no,no,Pay medical bills
